w1,w2,Mean_Loss,CVaR,Variance,CVaR_Variance,w3
0.0,0.0,13.204282343677708,86.47494736078123,541.7321759641839,98170.68911995346,9.43012950028012
0.0943012950028012,0.0,13.008222479506534,84.9913340442221,520.3647921839969,93627.75545387488,9.33582820527732
0.1886025900056024,0.0,12.828772955492306,83.83039048580011,507.3082493792446,91688.2488872196,9.241526910274517
0.2829038850084036,0.0,12.64583553202348,82.83879910878379,501.65078635243407,92419.16099674006,9.147225615271717
0.3772051800112048,0.0,12.45592964453454,81.5335454483798,478.94173473395807,86651.58260069796,9.052924320268916
0.471506475014006,0.0,12.279961629852032,80.47669519049987,467.4547334536159,84869.58549832067,8.958623025266114
0.5658077700168073,0.0,12.120381374085696,79.61660906495305,461.9975953044008,84941.34582091532,8.864321730263313
0.6601090650196084,0.0,11.938031127295249,78.5384700502462,449.1372727660395,82532.85292876932,8.770020435260513
0.7544103600224097,0.0,11.769959894374034,77.39631581792025,434.6644004477237,79280.89030903662,8.67571914025771
0.848711655025211,0.0,11.601731833211746,76.4265032432169,428.4633203103539,79141.1145232607,8.58141784525491
0.943012950028012,0.0,11.457441793451364,75.74881288624624,421.5433805726128,78083.48801762563,8.487116550252109
1.0373142450308133,0.0,11.299406477507118,74.77401221798156,408.4465865300563,75014.38185091164,8.392815255249307
1.1316155400336143,0.0,11.132705162518848,73.71715342078602,398.94775729404466,73491.5624963273,8.298513960246506
1.2259168350364158,0.0,10.9992109965236,73.05433998176281,390.7463934809714,71735.13964333144,8.204212665243706
1.3202181300392168,0.0,10.861200014597232,72.27338314725199,383.8220458131992,70622.75008030621,8.109911370240903
1.414519425042018,0.0,10.716368251125482,71.48722695390978,377.2282340597856,69727.23503060894,8.015610075238103
1.5088207200448194,0.0,10.596323419911291,70.93765149703614,369.7720078270904,67968.24762393252,7.921308780235301
1.6031220150476206,0.0,10.469786843936646,70.25160145491625,365.4510698112665,67688.82704406665,7.8270074852325
1.697423310050422,0.0,10.343957693275708,69.5067251266392,357.61435176482047,66091.10391049643,7.732706190229699
1.791724605053223,0.0,10.231684978947277,68.91652375672987,351.00885676985,64676.904523969155,7.6384048952268975
1.886025900056024,0.0,10.12634027809549,68.41200114875016,347.5667040438173,64371.54343747434,7.544103600224096
1.9803271950588257,0.0,10.015444501874146,67.84895056919127,342.7777254557086,63638.283366182055,7.4498023052212945
2.0746284900616265,0.0,9.924759112788122,67.42474804751735,341.22563663233996,63935.24659637732,7.355501010218494
2.168929785064428,0.0,9.827533478993002,66.95454308224771,334.84976143723156,62369.91552956393,7.261199715215692
2.263231080067229,0.0,9.737882574878345,66.5456077899928,330.8637688177982,61670.32821560704,7.166898420212892
2.35753237507003,0.0,9.64871660875952,66.10654810778958,328.4347081419097,61643.769356878365,7.07259712521009
2.4518336700728316,0.0,9.58131655309007,65.8839365722959,324.0724225873225,60414.909057466066,6.978295830207289
2.5461349650756326,0.0,9.507868820861692,65.49144434685225,321.5217784705917,60135.71511044906,6.883994535204488
2.6404362600784337,0.0,9.4388210187576,65.16448389631321,318.43526164424907,59577.92957665358,6.789693240201687
