,"Port1,Warehouse1","Port1,Warehouse2","Port1,Warehouse3","Port1,Warehouse4","Port1,Warehouse5","Port1,Warehouse6","Port1,Warehouse7","Port2,Warehouse1","Port2,Warehouse2","Port2,Warehouse3","Port2,Warehouse4","Port2,Warehouse5","Port2,Warehouse6","Port2,Warehouse7","Port3,Warehouse1","Port3,Warehouse2","Port3,Warehouse3","Port3,Warehouse4","Port3,Warehouse5","Port3,Warehouse6","Port3,Warehouse7"
Commodity_1,0.7146745023927643,0.4996620526945217,0.5105382650834777,0.18403703926793102,0.8322887406262721,0.2738505016167352,0.43401568657201817,0.5506131931852375,0.8497071074456218,0.9454333438433687,0.8575911296617437,0.4871630693846465,0.1670916049465474,0.7633777638565334,0.7749305764227896,0.36069124961509913,0.44417589353792053,0.4905334545351542,0.4422506798631062,0.43324282814493253,0.2741270805497841
Commodity_2,0.22042085099519304,0.1683121241042539,0.6791714841855319,0.8970090831872936,0.25951333978422786,0.9330135672784591,0.413427301995443,0.9217645548700124,0.9565841613798037,0.8772301861547711,0.3297276844659608,0.3900747434132489,0.3529467671022245,0.7485619143803096,0.2437884945070815,0.2489490910121428,0.4770346039687864,0.11740556038789618,0.8455225637043849,0.0922916762447007,0.7926811847590883
Commodity_3,0.4338294820421945,0.17717862752012015,0.16304689244175818,0.15225231958103858,0.8006266083602793,0.8672587239817874,0.4857011778892064,0.4672133874675418,0.2758964960572695,0.7910068847525311,0.5460067223189713,0.9561932080863093,0.2849477878357103,0.18205525325971883,0.9010809191840858,0.7441471628413111,0.9714989771432958,0.7069521993433885,0.9648426241223325,0.09454187278381354,0.464269254781875
Commodity_4,0.35770738579527583,0.4323896856217492,0.11867011063966626,0.9211264515533808,0.4541612401264523,0.6515421012721877,0.6167353332090443,0.9275035177008268,0.473554720363918,0.7538905255670311,0.4986886892878807,0.41712915272429674,0.458451678871168,0.001449218641601857,0.2396270087417267,0.7799144605168387,0.18867521540068277,0.07611519588957527,0.9557147708693109,0.08852284812254874,0.3471265872542797
Commodity_5,0.3972689066326245,0.9297787543236221,0.9883532317133426,0.8939980272569031,0.3529214442497126,0.22634688354182098,0.4943118419692677,0.5913089671328863,0.48163930337388716,0.327457632815223,0.9203050108682046,0.8638887633369592,0.5076093160770138,0.13050031367794757,0.44821782167637725,0.14199032158196645,0.6403381537757198,0.6782587619582232,0.5405573932069724,0.551087793807794,0.3936268983236081
Commodity_6,0.5279858168904836,0.030923642436386123,0.28135954989458745,0.14038907548557822,0.46543883612093884,0.3854165655387376,0.4955118191788923,0.3692539395878601,0.7179169539727189,0.7620983639142889,0.6180857785512527,0.11199424152752202,0.28060918001123325,0.5266806536137968,0.39583239936322767,0.44559931121051055,0.8822904757058246,0.7236443058575087,0.06873063136124247,0.12468260263110365,0.10343390308035827
Commodity_7,0.6181947345292659,0.1807038294839166,0.24663150290034574,0.19242309646692612,0.012588488733838221,0.48646069211317433,0.10870998030233858,0.6311540436144516,0.5243909552222649,0.33365774873776843,0.23798932870440126,0.30937283222842604,0.7610013741217193,0.35543629153909473,0.6487094235073521,0.5218440044041678,0.02354383126713433,0.8476787353054024,0.528867962657863,0.016179758370784447,0.8349568674709543
Commodity_8,0.8771845191275358,0.7183461311390761,0.05456673256240585,0.4009227465156787,0.6316385328138665,0.15378201078771947,0.34551860898884235,0.31751484918248185,0.37728113136349595,0.8519790183129676,0.14359681980187222,0.1417150258190506,0.8353662326839314,0.8318726795965353,0.7644730214688622,0.06976303220677582,0.02615595511707003,0.13021587705368953,0.8597668072517525,0.36162764426861826,0.7956590595041366
Commodity_9,0.6960980618605379,0.7522687698731731,0.8154259358312576,0.6538182110642395,0.9857158862039651,0.3805490901764117,0.8963761261766878,0.3765312416301305,0.03859044499148778,0.0952598922743797,0.7536876894187532,0.7001258352344627,0.2978329163170963,0.6221894749690445,0.3576416224012319,0.4041723872611618,0.8207638946190765,0.30422149348044625,0.1897144669994696,0.016087617893876915,0.2572560209860264
Commodity_10,0.8003909477356287,0.770212445950801,0.4696653632822886,0.18183280252332445,0.3652578058631166,0.44522208264739915,0.00017457638484985605,0.0757059549696103,0.253916987365177,0.4176941714205844,0.79161547765445,0.14145646962950753,0.8085134867583188,0.6007805206280917,0.4381513640040846,0.9583574436173223,0.17708233793645878,0.09591706629528873,0.6361884163712929,0.20090451510730822,0.816766260603995
Commodity_11,0.18700245487746725,0.36870090716502557,0.266627882717275,0.8288366190603788,0.023457656012019767,0.9392922479156388,0.6629780933583368,0.5327761808132687,0.4486954198015083,0.32015163967905824,0.8589976780588501,0.09319304277902674,0.9384855005336428,0.9398352231342666,0.868267358885301,0.7929569149776534,0.23590661067381968,0.9270928378429809,0.7840103447437495,0.08445045140309837,0.6395782213855515
Commodity_12,0.9220889952495219,0.06595470818374072,0.2768087491849629,0.15311944173083758,0.02213327891022332,0.5291793423715538,0.8513108464797754,0.6886537931708447,0.546937430668483,0.6686381917595082,0.6099892632218649,0.30136102623000494,0.691335099257437,0.54797180754471,0.37194707607997535,0.6600146377312197,0.9877674030251292,0.2835978217316485,0.9527531238840349,0.09599921730838745,0.4937654439563969
Commodity_13,0.6036915984175222,0.38643028202776264,0.75237749869824,0.599170584070348,0.38921078727296976,0.22752428181810624,0.6620235108463413,0.2142491466667683,0.7801147247118088,0.7796942393439795,0.4118221083510666,0.33100701711101965,0.7458096667932224,0.7860093053529947,0.6236287068048257,0.5574687831352628,0.9205388202834507,0.25436949480793813,0.7138369985410336,0.6131728614650248,0.6479611455474283
Commodity_14,0.2227311475177426,0.7542419186902917,0.4860369723685867,0.8872425554003018,0.5847529635339014,0.13050670413188104,0.04172778922566822,0.317057332634596,0.6095165348200206,0.4113951151066372,0.9354828101215719,0.8718021703193162,0.2359931320459181,0.018388475772395108,0.7026547165764485,0.4963514897167014,0.27378553509463077,0.7535307661383953,0.06216837693381794,0.5245312907309392,0.5467857036665525
Commodity_15,0.7364610521069579,0.7170406114268285,0.050055661190209766,0.29404515370349693,0.9585989075835283,0.09132860887003724,0.6823671776293387,0.03782634955341457,0.5135373904853628,0.315750987195222,0.9895077267375054,0.9420352947018238,0.10388366442411179,0.04626813151072162,0.9914014185451259,0.6808137293661765,0.7803187312896451,0.6366661437450736,0.8165103362289389,0.5442948275019441,0.012764912000418627
Commodity_16,0.18606376832163873,0.9498064333108742,0.46224127644113056,0.4769414607467729,0.7151590463095573,0.18322134055055372,0.885491866397347,0.7044417412218696,0.7875827717312542,0.12271168442348301,0.9243160853297282,0.20370464027819501,0.9125004536414933,0.012506804857174925,0.07134867885574714,0.5834016393082231,0.31263907787592093,0.21348940102742953,0.6367320862506012,0.05917950849925868,0.23125862070678616
Commodity_17,0.9177812216075933,0.3157596670619629,0.951408159470756,0.8452461602154532,0.7368452064403544,0.5186552390503069,0.8594590621085685,0.9045092595193405,0.9018294305833031,0.7365645632108869,0.6923796078454815,0.18660985046048661,0.0581682484192767,0.7355138222502826,0.18344060112560934,0.4834749695651924,0.2566376235339467,0.02237957635748733,0.9869900136367209,0.6923859131747532,0.24563866677408774
Commodity_18,0.04459004625574381,0.1435206800323291,0.8821953519179693,0.072244078612557,0.18409265250131224,0.6838512986107292,0.7713725040809034,0.6408023833040769,0.7457905424261834,0.7691649048877045,0.25563496244691875,0.35570302366942375,0.42224350863246674,0.49423660923999424,0.3550050982748211,0.9425899551414807,0.23209325594015418,0.6964588668886015,0.39452576303332454,0.19237990157498264,0.13473257984363385
Commodity_19,0.25457131850887715,0.2777856861090191,0.321607208693926,0.19664221704028584,0.9907189267550771,0.02732276795614852,0.741074896334683,0.43048808877584976,0.3372259279868902,0.5740362316763762,0.6543068296382152,0.3861174360963999,0.8746756369423783,0.0038571587843531097,0.8545906429302974,0.5175144772133086,0.1079242024668039,0.2472997671894619,0.6453675787285263,0.3621154279169151,0.21195719357146925
Commodity_20,0.7330464290407943,0.22872869139498686,0.7907784445519797,0.524275979982871,0.7067132063796336,0.22582082772520262,0.7248059762943873,0.752727895141499,0.9991007539825267,0.350957374009534,0.6495370295353091,0.2087862826427107,0.96069651558667,0.22397689662585885,0.8813643416434943,0.29425264382181304,0.1909363429122536,0.8634039524520827,0.9251489862081762,0.6817548711571981,0.5555662027069468
Commodity_21,0.10708545825747162,0.09406669104477983,0.18020586841265207,0.22205620148197158,0.41321575471394945,0.47163629641574156,0.5524793900518445,0.3794023612603734,0.37402893615495447,0.33756907838048844,0.6155797344336847,0.36916656399044856,0.9248290788293845,0.30280646446292525,0.7830229021237352,0.33737337944210843,0.9660533978491956,0.4767631968457575,0.6185520644187977,0.9016721054863949,0.41853304469118546
Commodity_22,0.39975570699750507,0.3825045654870153,0.0684756240629053,0.464726631572576,0.4565135660773988,0.3666904397059402,0.3136241826128391,0.6746550016972551,0.46510122956634914,0.6442377326599407,0.9189770665041196,0.5116261304175151,0.6445570675235383,0.49252364171963936,0.5024436144156826,0.04190216585593809,0.0685491555219977,0.6700264590987067,0.4909214268501939,0.8287873459789051,0.5278048054765019
Commodity_23,0.266075343410633,0.45846836829579596,0.4718692407918862,0.6481062613203208,0.06632096842469648,0.7495344028076122,0.6518247862388847,0.5370678506774992,0.6178973271171426,0.6938303077342021,0.822062398918849,0.11416871693335484,0.9177553194616554,0.021816386371979912,0.3861165724958493,0.71370597926951,0.9701724471515845,0.9080638965511783,0.955255885357623,0.363946337628688,0.7847145775634021
Commodity_24,0.7198673269187005,0.16918579642896014,0.5929564857778866,0.3743477981835337,0.040995401764985395,0.37445386970028116,0.4271834518488823,0.31897834677674963,0.1695793962660468,0.008968844104262352,0.42857777006568154,0.06739716300214282,0.4490023354036935,0.8185312557947121,0.5466890948234253,0.5111004081019883,0.8629177133241265,0.3265150008659,0.8801299036659174,0.11968005545261706,0.4501630235507009
Commodity_25,0.9545723934285179,0.7411497224512885,0.4444115330268539,0.46769237415616494,0.574892884845153,0.1383628304146891,0.6570160186424066,0.25625977531833266,0.7970031709731585,0.32011355757034254,0.2753457391333859,0.17071665029989613,0.22307856298587214,0.6131807053611498,0.2177293740276457,0.7346459367514361,0.0008787389161100112,0.9500578711346844,0.3083275072270858,0.9321709656535239,0.4150775121933289
Commodity_26,0.8550723091300679,0.058820536386253064,0.3761355975167724,0.2327497604058275,0.7908176021306367,0.2603098499935479,0.8269943416596848,0.7202741555375775,0.09528012958649579,0.3589360209077056,0.670051020782176,0.3616861157716327,0.9618402412209177,0.9217941741814846,0.9421547420256696,0.17136003702333225,0.16814787854201652,0.9605129599869391,0.614051728828989,0.5333411989597032,0.028771275158184895
Commodity_27,0.3861185646635168,0.8526411429977105,0.5472606562832975,0.9592673564357184,0.2722049990122646,0.14347149543357007,0.9279048339076515,0.07511777717033874,0.23653320616620488,0.06671584703611233,0.15858130471507115,0.4833399129346523,0.5851970165859935,0.660198521388088,0.39051981834458005,0.048654021427537275,0.44074360481753316,0.11250720192742147,0.4591061050892351,0.6617646105498396,0.8992718493739223
Commodity_28,0.18235557767630095,0.37202549873080426,0.3251928131808891,0.7007120543809962,0.24967264112021725,0.8605122415669136,0.8792032825021038,0.3802314525441902,0.1508664066565456,0.6348635986089831,0.9969314915758399,0.5013437478715048,0.7884734328608197,0.9285386669948898,0.9551201521997177,0.9327776867222721,0.7530573760297277,0.3349377201670132,0.3522114333670878,0.9453693973523853,0.8692616698502329
Commodity_29,0.7557492973033114,0.22981747845501022,0.11061130968131716,0.016677275190207452,0.17601321054892438,0.274695923669826,0.6036626341555459,0.15458258168178451,0.8065640186050377,0.8045207421613976,0.1719131061369048,0.5623587814868206,0.9459500710713677,0.9385719860925315,0.7799109656264737,0.9981602350709587,0.7524438117771822,0.40206932259580686,0.7665215803113619,0.11497835200869444,0.007367843582968825
Commodity_30,0.04959861143056177,0.9713523387202478,0.09683648943401546,0.45911928882531694,0.7881461237898588,0.8214203252301495,0.5201335953300769,0.12614014212918068,0.2592406326732424,0.9909887887543961,0.4071382083943643,0.39151967153009615,0.2525204590824257,0.22151291606286405,0.004425072053482637,0.5770913761906253,0.93001613726761,0.7505453070671527,0.05686326957402821,0.6868396987412739,0.005526106855476498
Commodity_31,0.46746035485867155,0.8869785757738448,0.8007516999939602,0.6994638898421028,0.42905867929861596,0.5436492312285246,0.3937731070603361,0.27677477653377447,0.5872338821827034,0.7910702566616247,0.8128797333549427,0.27047994738102776,0.14875729156973516,0.6469578435422855,0.4985402266478507,0.8384833785388566,0.7214325464911017,0.4654639798450846,0.22633430073113914,0.7386546810273704,0.28628747419255696
Commodity_32,0.2530588444142581,0.5711631618906738,0.3901737603297202,0.8714201511062898,0.13193850677352725,0.6761278216735449,0.6523221751176417,0.19392115287375,0.8946920311943295,0.767603130996647,0.17226108863063927,0.7189361343030982,0.3198606542529546,0.549505227150429,0.29398107006946084,0.09598479855251774,0.2686367382611673,0.410440670977704,0.20755362617422968,0.009513721773315553,0.02002567643785491
Commodity_33,0.006916948092200892,0.45573351908651194,0.7929582805192065,0.1635409541726952,0.1255080718789654,0.48367996331708174,0.2052025262582735,0.008862791848307738,0.5207619212911335,0.6986833769489761,0.30523987966475163,0.5677730259243036,0.9324135475181504,0.3415319312443995,0.8522801814805979,0.3163571507084808,0.9185625283165193,0.20565610777943266,0.2919469659370837,0.5270816818315472,0.8224683981740026
Commodity_34,0.3025493588895013,0.4546088608730908,0.2635250753267129,0.1347456735267636,0.7779729982057835,0.12718094426495152,0.5464978682531367,0.29905623308219853,0.7367985155302934,0.6993427894294432,0.18839352112119123,0.31793420883530366,0.9867053436018787,0.7765679993360637,0.3112042122788675,0.13732877786501918,0.29634993217502037,0.31806720849241266,0.04550296202474424,0.35309043803288287,0.8688352201110675
Commodity_35,0.23083359456128283,0.7630946653506838,0.24491881554219774,0.5760558784905355,0.2611332598725843,0.09839957884019312,0.20826800152153502,0.23452676112253457,0.26719304494040863,0.6921633046247109,0.48796704550924064,0.6694728950557368,0.4977153503265741,0.5288220721698481,0.4756279679764551,0.15181599384520916,0.6144571248596542,0.15530477201344262,0.8203103827850337,0.21567712533815042,0.17815201446097229
Commodity_36,0.024583424175709467,0.1574385021439615,0.9566157332546243,0.7546597590981585,0.3492149457070781,0.9563727357127423,0.6312807541607571,0.5825146284305173,0.8836162770166514,0.5706953981252326,0.7163630906903856,0.5995642246084065,0.8153972686014861,0.5566493331959322,0.30815570289940275,0.1815569397975162,0.1305405103295495,0.086091827709465,0.0533964344489708,0.7907327732553759,0.4035516377431465
Commodity_37,0.423865603089712,0.5976000827638762,0.5568591788481827,0.4158765010664124,0.35076579937936203,0.8420599937846238,0.5790232002829828,0.6089154414995464,0.8493355952579525,0.641197790738103,0.839131191460095,0.8141480891018771,0.6808020323197944,0.311782571134934,0.6913596733593926,0.8298101508610163,0.44579391571169846,0.0002257902820771429,0.7439256960135574,0.9470258036140945,0.6536662582144309
Commodity_38,0.11027301985564031,0.10439704743297085,0.9392194796013649,0.16500614154196447,0.53982281124437,0.9042870543259415,0.6018646349584663,0.9585136159196842,0.16924963042619423,0.3830678813268956,0.9130410617231663,0.9089976700334533,0.8974039396039031,0.4675873856280265,0.33592099212415505,0.6385957408914149,0.8910152781182564,0.8258633331296179,0.6927349562458959,0.534459771490872,0.8638412616810407
Commodity_39,0.5354406390973641,0.5996897928336082,0.6115205242134799,0.8285196226205024,0.6238289407206009,0.653816641418423,0.46839053958871213,0.27965011835249565,0.9713868870406535,0.2972637694140178,0.4242387398712938,0.48776120537541445,0.5984545145240986,0.07213334272864169,0.024265874742593785,0.680920780424327,0.6000872585147825,0.7139574159739668,0.17659258612388273,0.6827075269461901,0.08840917082544175
Commodity_40,0.7358447206902438,0.609477223611481,0.8799662794643025,0.6684618748448553,0.5480029933381055,0.7239407871674521,0.6882508806832047,0.3653514688716054,0.34824128986618963,0.2985672909328885,0.519538288692609,0.36759318784467243,0.822050393524071,0.887878713553041,0.3715464093377826,0.8222200951125439,0.24353666912227412,0.6869416140057505,0.481024480985605,0.528918285411187,0.4185479058172017
Commodity_41,0.4127886547362145,0.05629465781807608,0.25501659752564265,0.6205341192124536,0.5095782315255227,0.022745412843954815,0.4370724482780237,0.09780963520635677,0.9202662176970441,0.8110836645746262,0.9021281620843884,0.7960148863107392,0.40749838249443715,0.9388345786778416,0.8548070629055657,0.3360942800226141,0.7647015865148377,0.7819654716368489,0.3949747772274095,0.10723348040154723,0.8078144081289692
Commodity_42,0.21581628388381713,0.32266517871520484,0.9018485922235934,0.6743211110574472,0.9388740518158093,0.5995981797428357,0.7956326908743249,0.8478078671090468,0.013261488575453395,0.2424463089584762,0.7990052986433135,0.0140886509453515,0.9393977589988532,0.12928668191504178,0.406619739377834,0.7073398883051186,0.5949386927307989,0.07977966064239206,0.9714505038828393,0.4733185690834011,0.6865614406845477
Commodity_43,0.6705794426182449,0.6786891848763918,0.9597557322451538,0.11678088946389753,0.9704894413343671,0.2832071996272617,0.4217209369092536,0.31060167737947364,0.6403628489089007,0.8617141042121046,0.8725655269981846,0.11057193123268372,0.48228135841962194,0.6159551306963335,0.9845462064550052,0.7235929309979541,0.9713544882832202,0.4516261675844875,0.6234024945340656,0.710420792418142,0.15393030311626166
Commodity_44,0.18015218558292856,0.13138807688839937,0.70293963373674,0.18619740876896962,0.7532761533985823,0.890139640686903,0.5087099394297925,0.4541998699121794,0.10717375273687246,0.5109585321801701,0.17388419182784565,0.19908154940040668,0.5115099136596988,0.9911203555189626,0.9176646148641217,0.027099920911177078,0.42603583121033484,0.48384785926837637,0.7157117266479222,0.18138027474536922,0.17368866659981552
Commodity_45,0.5743563173700837,0.6285859039664027,0.5917451485117269,0.8945936251633528,0.38572553422002387,0.13825620370394143,0.9961950992561113,0.25323694427104715,0.6046616648420623,0.37618247397926907,0.2076437240356831,0.4020663130911164,0.38300645878578365,0.9730769753186745,0.02447466866423531,0.09889286307932588,0.44741215072103324,0.24041890147138867,0.9867402891246021,0.5076625438071054,0.10039490639975024
Commodity_46,0.36951696299538117,0.6169831669680089,0.8866726758656409,0.34409336214351816,0.7502902738224527,0.7353231409734631,0.20046674924932828,0.4825036805645203,0.27049506675191015,0.862582697197677,0.756971372057578,0.1684463472086556,0.03388971439473931,0.8309715111594349,0.8069714997921065,0.30226409707747515,0.7838733942339303,0.0703181737668277,0.26485509389960504,0.23281236904815794,0.3210778428235572
Commodity_47,0.21340737554860545,0.26808071349777296,0.8996124813630381,0.08368113358283602,0.4960244282488333,0.8787163949770953,0.6887350590599415,0.17685483812076241,0.9040213502380303,0.648418844260867,0.4205129881508154,0.5097570720337353,0.7320889563809466,0.5847538051801443,0.4909435805451313,0.12951656986582682,0.6985091226646138,0.9660904711319115,0.6230544502424008,0.5251331555412192,0.007049875844343023
Commodity_48,0.8204771549674861,0.9497930120867631,0.3540503169437147,0.19557251727443925,0.8594329082399206,0.2660329754797832,0.6423091532149713,0.051702099785452815,0.7710487954947698,0.463233741158935,0.5850980156818735,0.6852722392398907,0.8995979614373917,0.8860819243660644,0.36646635112481163,0.8235654688174743,0.40213736167445147,0.8722402795461065,0.7626387478234175,0.873113419528163,0.2712911681229736
