,Warehouse1,Warehouse2,Warehouse3,Warehouse4,Warehouse5,Warehouse6,Warehouse7
Commodity_1,0.23368798243132236,0.2877367962137064,0.09895180243987636,0.0614357828940121,0.12216429667477131,0.16030215789432808,0.03572118145198323
Commodity_2,0.1370989690180977,0.16489614380074202,0.1973418755404305,0.07631751905154709,0.18059002133188481,0.14595952793392683,0.09779594332337106
Commodity_3,0.18055272420955734,0.07960394617581172,0.06499342091582623,0.2639796054436341,0.06765760578656076,0.07917549319909349,0.26403720426951655
Commodity_4,0.07502924558815738,0.15556388511193123,0.2533766088895632,0.0876225842651944,0.20054564326062482,0.0647064418434062,0.1631555910411228
Commodity_5,0.16192406362690348,0.13227775735661698,0.12381948667648777,0.18651263393553058,0.048057977021900324,0.15365588331407898,0.19375219806848207
Commodity_6,0.05513318369190844,0.24559759307726564,0.231041896019216,0.09402732721648727,0.06552830386096099,0.19058347148235988,0.11808822465180178
Commodity_7,0.17329245118198924,0.21895011008358442,0.19929247811480405,0.12222560681599266,0.12282931693271325,0.0717535772389563,0.09165645963196016
Commodity_8,0.2656050900710013,0.17492373584168786,0.17251398023185702,0.10222787075245479,0.10262542012327935,0.058140755173624506,0.12396314780609523
Commodity_9,0.11780626939989242,0.07446288068199244,0.20899670195915873,0.12426554604464184,0.18370444395175878,0.11784924768151385,0.17291491028104203
Commodity_10,0.04359115020327139,0.2158318230423269,0.12761725686842124,0.18751333789722985,0.08098588353320063,0.10656001340879796,0.23790053504675207
Commodity_11,0.1373238369400887,0.20147797501541254,0.22953495983786215,0.17746494158871767,0.04062834553361523,0.18095872585528974,0.03261121522901395
Commodity_12,0.21556842022625355,0.15932528107669983,0.17230947334044833,0.10479226721160333,0.051490275581509426,0.17282289157906103,0.12369139098442455
Commodity_13,0.27360211493513437,0.09121020009687839,0.05779660860285951,0.15008781834733795,0.14291875028747272,0.15663949593388365,0.1277450117964334
Commodity_14,0.13988619783187148,0.22081426309621832,0.1604785304472828,0.12826743855640005,0.1668766748046849,0.09444173834954336,0.08923515691399904
Commodity_15,0.12083407274229487,0.23955638201526747,0.2330471073638406,0.08527043329946002,0.07989029706131721,0.21314174240412675,0.028259965113693258
Commodity_16,0.25711671811465675,0.14343802314825582,0.04302280433829677,0.051296815015745366,0.20737742556408675,0.27050571846896776,0.027242495349990757
Commodity_17,0.08236804196312401,0.163334066867898,0.03300954753774183,0.1303560866918833,0.19803506941755278,0.16209379085213857,0.2308033966696614
Commodity_18,0.07717335168839062,0.16017790599821613,0.23051426638383227,0.19151896713440883,0.15375106121530924,0.07174790551654425,0.11511654206329862
Commodity_19,0.13166598096725723,0.1761168086288548,0.09023556906092836,0.3309833316239695,0.05367567465046775,0.08262990003837355,0.1346927350301488
Commodity_20,0.23406966176623775,0.26869091685550694,0.07494736940322741,0.06768531496104378,0.19171450425449899,0.044736622219925075,0.11815561053955993
Commodity_21,0.1326029650060166,0.1736768842936213,0.07623134346221354,0.17419165674621237,0.11408329748488466,0.17638919042711793,0.15282466257993343
Commodity_22,0.15443114703379754,0.11711963846004002,0.18328475416340378,0.16494280627261543,0.07908212221516099,0.1724106864380908,0.12872884541689159
Commodity_23,0.12334362274343248,0.16981907172242974,0.14331295585270334,0.03825791990692203,0.19919539725316704,0.08761691157697131,0.2384541209443741
Commodity_24,0.1601587955606786,0.1082984330942718,0.24722082337083126,0.10808095207986354,0.09817279344185097,0.03646905733061185,0.24159914512189176
